#Thread	Original Vehicle	Seats	Cars	Bikes	Bicycles	Quadbikes	Planes	Helicopters	Boats	Trains	Trailers	Flags	Alternate Coordinates			Alt Coord Notes
#													X	Y	Z	
intro	Copcarla	4	Y	N	N	N	Y	Y	N	Y	N					
lowr	Savanna	2	Y	Y	Y	Y	Y	Y	Y	Y	N					
zero5	Rcbaron	1	C	N	N	N	C	C	N	N	N	guns	-5	0	0	
intro1	Peren	2	Y	Y	Y	Y	Y	Y	N	N	N					
intro1	Voodoo	2	Y	Y	Y	Y	Y	Y	N	N	N					
intro1	Bmx	1	C	Y	Y	Y	N	N	N	N	N	x=971+y=-1115+z=23+smallplanes	-20	-37	0	Ryder bike
intro1	Bmx	1	C	Y	Y	Y	N	N	N	N	N	x=971+y=-1113+z=23+smallplanes	-9	0	0	Sweet bike
intro1	Bmx	1	C	Y	Y	Y	C	C	C	C	C	x=971+y=-1110+z=23+smallplanes	-20	-30	0	Smoke bike
intro1	Bmx	1	C	Y	Y	Y	C	C	N	N	C	x=971+y=-1108+z=23+smallplanes	5	4	0	Player bike
intro2	Picador	2	Y	Y	N	Y	C	C	N	N	N	smallplanes	0	27	0	
sweet1	Greenwoo	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
sweet3	Greenwoo	4	Y	N	N	N	N	Y	N	N	N					
sweet3	Voodoo	2	Y	Y	N	Y	Y	Y	N	N	N					
sweet2	Glendale	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
sweet4	Greenwoo	4	Y	N	N	N	N	Y	N	N	N	standarddoor				
hoods5	Sentinel	1	Y	Y	Y	Y	Y	Y	N	N	N					
sweet6	Savanna	2	Y	Y	Y	Y	Y	Y	N	N	N	x=2644+y=-2028+z=12+smallplanes				Added code to cancel entering mod shop
sweet6	Savanna	2	Y	Y	Y	Y	Y	Y	Y	Y	N					
sweet6	Remingtn	1	Y	Y	Y	Y	Y	Y	Y	Y	N					
sweet7	Greenwoo	4	Y	N	N	N	N	Y	N	N	N					
sweet7	Admiral	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
crash1	Voodoo	2	Y	Y	N	Y	Y	Y	N	N	N					
drugs3	Banshee	1	Y	Y	Y	Y	Y	Y	N	N	N					
guns1	Boxburg	2	Y	Y	N	Y	Y	Y	N	N	N	x=2476+y=-1679+z=12+smallplanes				
guns1	Copcarla	2	Y	Y	N	Y	Y	Y	N	N	N					
ryder3	Picador	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
ryder3	Greenwoo	4	Y	N	N	N	N	N	N	N	N					
ryder2	Mule	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
ryder2	Forklift	1	N	N	N	N	N	Y	N	N	N	rc				
ryder2	Mesa	1	Y	Y	Y	Y	Y	N	N	N	N	hovercraft				
ryder2	Patriot	2	Y	Y	N	Y	N	Y	N	N	N					
twar7	Glendale	4	Y	N	N	N	N	Y	N	N	N					
twar7	Pcj600	2	Y	Y	N	Y	N	C	N	N	N	x=2471+y=-1285+z=28	39	0	7	
smoke2	Glendale	2	Y	N	N	N	C	C	N	N	N	smallplanes	20	0	0	
smoke2	Sentinel	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
smoke3	Glendale	2	Y	Y	N	Y	C	C	N	N	N	x=2058+y=-1694+z=12+smallplanes	20	0	0	
drugs1	Glendale	2	Y	Y	N	Y	C	C	N	N	N	x=2058+y=-1694+z=12+smallplanes	20	0	0	
drugs1	Bf400	2	Y	Y	N	Y	N	N	N	N	N	rc				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=1374+y=-1394+z=13				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=1374+y=-1665+z=12				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=1373+y=-1633+z=12				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=1496+y=-1731+z=6				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=2002+y=-1890+z=8				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=2008+y=-1897+z=8				
drugs1	Sultan	2	Y	N	N	N	Y	Y	Y	Y	N	x=2529+y=-1892+z=13				
music1	Pony	2	Y	Y	N	Y	Y	Y	N	N	N	smallplanes				
music1	Voodoo	1	Y	Y	Y	Y	Y	Y	N	N	N					
music1	Oceanic	1	Y	Y	Y	Y	Y	Y	N	N	N					
music1	Esperant	1	Y	Y	Y	Y	Y	Y	N	N	N					
music3	Elegant	4	Y	N	N	N	N	N	N	N	N					
music5	Greenwoo	1	Y	Y	Y	Y	N	N	N	N	N					
music5	Voodoo	1	Y	Y	Y	Y	N	N	N	N	N					
music5	Tahoma	4	Y	N	N	N	N	N	N	N	N	x=2224+y=-1677+z=13				
music5	Tahoma	4	Y	N	N	N	N	N	N	N	N	x=2227+y=-1667+z=13				
